================================================================================
sample: 50 units
  10471277: 2232 chars,  43 entity mentions, 20 relations
  23059655: 1672 chars,  13 entity mentions,  0 relations
  23061466: 1824 chars,  26 entity mentions,  6 relations
  23063595: 1555 chars,  14 entity mentions,  4 relations
  23064031: 1508 chars,  41 entity mentions, 28 relations
  23066090: 1133 chars,  21 entity mentions, 18 relations
  23066988: 1260 chars,  33 entity mentions, 15 relations
  23081912: 1871 chars,  42 entity mentions, 17 relations
  23085295: 1205 chars,   7 entity mentions,  0 relations
  23086748: 2233 chars,  17 entity mentions,  8 relations
  23087260: 1524 chars,  32 entity mentions, 14 relations
  23091169: 1443 chars,  19 entity mentions,  0 relations
  23092877: 1668 chars,  25 entity mentions,  0 relations
  23093023: 1985 chars,  31 entity mentions,  2 relations
  23097088: 1478 chars,  25 entity mentions,  3 relations
  23098818: 1663 chars,  35 entity mentions, 17 relations
  23103568: 1834 chars,  43 entity mentions,  6 relations
  23111283: 1177 chars,  20 entity mentions,  5 relations
  23115221: 1643 chars,  19 entity mentions,  1 relations
  23117207: 1893 chars,  39 entity mentions,  2 relations
  23117790: 1888 chars,  29 entity mentions,  5 relations
  23146664: 1842 chars,  29 entity mentions, 12 relations
  23146761: 1826 chars,  38 entity mentions,  6 relations
  23147987: 1730 chars,   8 entity mentions,  0 relations
  23150495: 1853 chars,  14 entity mentions,  0 relations
  23155201: 1798 chars,   6 entity mentions,  0 relations
  23157629:  922 chars,  15 entity mentions,  2 relations
  23159887: 1535 chars,  26 entity mentions,  2 relations
  23159888: 1583 chars,  26 entity mentions,  0 relations
  23161844:  446 chars,   4 entity mentions,  0 relations
  23164921: 1481 chars,  20 entity mentions,  8 relations
  23172229: 1867 chars,  15 entity mentions,  0 relations
  23177789:  983 chars,  13 entity mentions,  3 relations
  23182946: 2181 chars,  37 entity mentions,  7 relations
  23194529: 1071 chars,   6 entity mentions,  0 relations
  23198810: 1604 chars,   9 entity mentions,  2 relations
  23199028: 1048 chars,  12 entity mentions,  1 relations
  23200253: 1072 chars,   9 entity mentions,  3 relations
  23205514: 1561 chars,  17 entity mentions,  2 relations
  23205571: 1226 chars,  20 entity mentions,  2 relations
  23211426: 1332 chars,  17 entity mentions,  2 relations
  23211523: 1936 chars,  55 entity mentions,  6 relations
  23220037: 1858 chars,  25 entity mentions,  5 relations
  23220641:  899 chars,  12 entity mentions,  0 relations
  23220742: 1396 chars,  27 entity mentions, 10 relations
  23223234:  938 chars,   8 entity mentions,  2 relations
  23223414: 1692 chars,  11 entity mentions,  0 relations
  23224291: 1672 chars,  23 entity mentions,  0 relations
  23229511: 1922 chars,  42 entity mentions, 11 relations
  23230131: 1831 chars,  47 entity mentions, 54 relations
  23232060:  779 chars,  19 entity mentions,  3 relations
  23234537: 1240 chars,   7 entity mentions,  0 relations
  23238236: 1258 chars,   7 entity mentions,  0 relations
  23239555:  701 chars,  13 entity mentions,  3 relations
  23239592:  384 chars,   7 entity mentions,  0 relations
  23246428: 1682 chars,  11 entity mentions,  0 relations
  23252799: 1931 chars,  11 entity mentions,  0 relations
  23254196: 1607 chars,  42 entity mentions, 19 relations
  23256446: 1648 chars,  15 entity mentions,  0 relations
  23256625: 1487 chars,  39 entity mentions, 21 relations
  23256719: 1435 chars,  20 entity mentions,  0 relations
  23257178: 1677 chars,  24 entity mentions,  3 relations
  23261051: 2123 chars,  29 entity mentions,  2 relations
  23261528: 1500 chars,  20 entity mentions,  7 relations
  23261705: 1359 chars,  29 entity mentions, 10 relations
  23263989: 1446 chars,  29 entity mentions,  2 relations
  23265873: 1080 chars,   9 entity mentions,  0 relations
  23265901:  688 chars,  10 entity mentions,  6 relations
  23265904: 1201 chars,  18 entity mentions,  2 relations
  23266452: 1630 chars,  10 entity mentions,  0 relations
  23266732: 1831 chars,  18 entity mentions,  0 relations
  23267767: 1073 chars,  15 entity mentions,  1 relations
  23270704: 1151 chars,  29 entity mentions,  9 relations
  23270805: 1074 chars,  12 entity mentions,  0 relations
  23271742: 1495 chars,  35 entity mentions, 13 relations
  23274058: 1605 chars,  35 entity mentions, 13 relations
  23274893: 1626 chars,  28 entity mentions,  0 relations
  23274898: 1679 chars,  53 entity mentions, 13 relations
  23275442: 1722 chars,  36 entity mentions,  3 relations
  23279865:  852 chars,   9 entity mentions,  3 relations
  23282999: 2354 chars,  35 entity mentions,  0 relations
  23284002: 1875 chars,  53 entity mentions, 20 relations
  23287700: 1647 chars,  27 entity mentions, 15 relations
  23292170: 1836 chars,  15 entity mentions,  1 relations
  23292752: 3609 chars,  39 entity mentions, 12 relations
  23293126: 1430 chars,  37 entity mentions,  0 relations
  23295229: 2270 chars,  47 entity mentions, 15 relations
  23296102: 1383 chars,  21 entity mentions,  9 relations
  23296142: 1626 chars,  30 entity mentions, 13 relations
  23296837: 1948 chars,  27 entity mentions, 12 relations
  23297346:  974 chars,  18 entity mentions,  2 relations
  23298677: 1621 chars,  41 entity mentions,  7 relations
  23307185: 1928 chars,  38 entity mentions,  0 relations
  23311608: 2226 chars,  14 entity mentions,  0 relations
  23312283: 1171 chars,  29 entity mentions, 21 relations
  23313270:  636 chars,   8 entity mentions,  0 relations
  23313336: 1185 chars,  31 entity mentions, 22 relations
  23313637:  988 chars,  14 entity mentions,  3 relations
  23314054:  963 chars,   9 entity mentions,  4 relations
  23315216: 1261 chars,   6 entity mentions,  0 relations
  23317163: 1976 chars,   9 entity mentions,  0 relations
  23318685: 1918 chars,  10 entity mentions,  3 relations
  23319584: 1919 chars,  13 entity mentions,  2 relations
  23322166: 1784 chars,  28 entity mentions,  4 relations
  23327532: 1583 chars,  19 entity mentions,  5 relations
  23329465: 1939 chars,   8 entity mentions,  0 relations
  23330546:  946 chars,  16 entity mentions,  5 relations
  23333093: 1280 chars,  24 entity mentions,  0 relations
  23333305: 1108 chars,  20 entity mentions,  0 relations
  23333834: 2128 chars,  34 entity mentions, 15 relations
  23333897: 1755 chars,  18 entity mentions,  2 relations
  23336337: 1013 chars,  10 entity mentions,  1 relations
  23337567: 1387 chars,  35 entity mentions,  9 relations
  23339076:  932 chars,  16 entity mentions,  0 relations
  23340897: 1729 chars,  21 entity mentions,  0 relations
  23343565: 1767 chars,  20 entity mentions,  0 relations
  23347547: 1383 chars,  12 entity mentions,  0 relations
  23348407: 1516 chars,  12 entity mentions,  2 relations
  23348408: 1164 chars,  16 entity mentions,  0 relations
  23349208: 1618 chars,  34 entity mentions, 15 relations
  23352910: 1782 chars,   6 entity mentions,  0 relations
  23352911: 1498 chars,  25 entity mentions,  0 relations
  23353658: 1938 chars,  24 entity mentions,  3 relations
  23353701: 1859 chars,  36 entity mentions, 23 relations
  23353736:  640 chars,   7 entity mentions,  3 relations
  23353741:  940 chars,  10 entity mentions,  4 relations
  23353821: 1825 chars,  26 entity mentions,  0 relations
  23354728: 1487 chars,  13 entity mentions,  0 relations
  23355087: 1952 chars,  28 entity mentions,  0 relations
  23356880: 1602 chars,  16 entity mentions, 10 relations
  23358307: 1171 chars,  11 entity mentions,  0 relations
  23362838: 1644 chars,   6 entity mentions,  0 relations
  23363425: 1219 chars,  18 entity mentions,  0 relations
  23368510: 1985 chars,  11 entity mentions,  0 relations
  23368735: 1254 chars,  21 entity mentions,  5 relations
  23368743: 1672 chars,  42 entity mentions,  8 relations
  23369343: 1519 chars,  22 entity mentions,  4 relations
  23370008: 1873 chars,  34 entity mentions, 11 relations
  23371303: 3536 chars,  62 entity mentions, 27 relations
  23371451: 1936 chars,  25 entity mentions,  0 relations
  23372041: 1161 chars,   9 entity mentions,  0 relations
  23373677: 1065 chars,   4 entity mentions,  0 relations
  23377542: 1095 chars,  20 entity mentions,  0 relations
  23378608: 1636 chars,  11 entity mentions,  1 relations
  23379481: 1091 chars,  27 entity mentions,  2 relations
  23381641: 2208 chars,  25 entity mentions,  0 relations
  23381936: 1260 chars,   5 entity mentions,  0 relations
  23382074: 1348 chars,  30 entity mentions,  2 relations
  23384997: 3299 chars,  61 entity mentions,  7 relations
  23385959: 2169 chars,  36 entity mentions, 14 relations
  23386029:  705 chars,  14 entity mentions,  2 relations
  23386703: 2223 chars,  26 entity mentions,  5 relations
  23391336: 1020 chars,  15 entity mentions,  7 relations
  23391632: 2087 chars,  36 entity mentions, 10 relations
  23393127: 1787 chars,  59 entity mentions, 27 relations
  23395669: 1593 chars,  22 entity mentions, 10 relations
  23395825: 1660 chars,  40 entity mentions,  0 relations
  23395914: 1527 chars,  23 entity mentions,  7 relations
  23396144: 1665 chars,  22 entity mentions, 33 relations
  23398572: 1257 chars,  15 entity mentions,  0 relations
  23399323: 1767 chars,  15 entity mentions,  0 relations
  23400796: 1622 chars,  26 entity mentions,  0 relations
  23401298: 1331 chars,  13 entity mentions,  0 relations
  23401473: 1943 chars,  30 entity mentions, 21 relations
  23402628: 1324 chars,  22 entity mentions, 10 relations
  23403014: 1384 chars,   6 entity mentions,  0 relations
  23403085:  873 chars,  11 entity mentions,  2 relations
  23404443: 2095 chars,  23 entity mentions,  6 relations
  23404505: 1783 chars,  22 entity mentions,  4 relations
  23406497: 1913 chars,  15 entity mentions,  0 relations
  23406956: 1926 chars,  38 entity mentions,  0 relations
  23407783: 2029 chars,  19 entity mentions,  6 relations
  23409871: 1151 chars,  17 entity mentions,  4 relations
  23411185: 1079 chars,   8 entity mentions,  0 relations
  23412396: 2072 chars,  30 entity mentions, 10 relations
  23412922: 1634 chars,  24 entity mentions,  0 relations
  23416003:  671 chars,  12 entity mentions,  4 relations
  23416007: 1346 chars,  20 entity mentions,  1 relations
  23416070: 1172 chars,  24 entity mentions,  0 relations
  23416131: 1304 chars,   3 entity mentions,  0 relations
  23416191: 1216 chars,  10 entity mentions,  4 relations
  23416946: 1170 chars,  11 entity mentions,  1 relations
  23421877:  978 chars,  10 entity mentions,  0 relations
  23427190: 1558 chars,  14 entity mentions,  2 relations
  23428346: 2141 chars,  35 entity mentions,  5 relations
  23428368: 1238 chars,  11 entity mentions,  3 relations
  23429231: 1597 chars,   9 entity mentions,  0 relations
  23429911: 1844 chars,  35 entity mentions,  6 relations
  23432124: 1303 chars,  19 entity mentions,  7 relations
  23432429: 2224 chars,  50 entity mentions, 26 relations
  23432662: 1629 chars,   7 entity mentions,  1 relations
  23434648: 1546 chars,  28 entity mentions,  1 relations
  23435615: 1796 chars,  21 entity mentions,  6 relations
  23439660: 1897 chars,  42 entity mentions,  7 relations
  23439872: 2055 chars,  34 entity mentions,  0 relations
  23440512:  950 chars,  18 entity mentions,  8 relations
  23441017: 1492 chars,  18 entity mentions,  0 relations
  23443810: 1273 chars,  26 entity mentions,  2 relations
  23444386: 1917 chars,  29 entity mentions,  6 relations
  23448346: 1131 chars,  18 entity mentions,  3 relations
  23449197: 1078 chars,  16 entity mentions,  8 relations
  23449888: 1838 chars,  45 entity mentions,  6 relations
  23454144: 1402 chars,  11 entity mentions,  0 relations
  23454145: 1832 chars,  40 entity mentions, 32 relations
  23454297: 1494 chars,  27 entity mentions,  2 relations
  23455323: 1364 chars,  30 entity mentions,  2 relations
  23462233: 1938 chars,  45 entity mentions, 16 relations
  23462380: 3172 chars,   2 entity mentions,  1 relations
  23462526: 1495 chars,   5 entity mentions,  0 relations
  23465614:  958 chars,  13 entity mentions,  5 relations
  23468189:  934 chars,  12 entity mentions,  4 relations
   2347042: 2125 chars,  30 entity mentions,  0 relations
  23470629: 1093 chars,  16 entity mentions,  7 relations
  23471969: 1234 chars,  25 entity mentions,  3 relations
  23474389:  822 chars,  10 entity mentions,  3 relations
  23475432: 1676 chars,  30 entity mentions,  8 relations
  23475784: 1898 chars,  13 entity mentions,  3 relations
  23478802: 1995 chars,  38 entity mentions, 20 relations
  23479059: 1172 chars,  14 entity mentions,  0 relations
  23479193:  603 chars,  10 entity mentions,  1 relations
  23479738: 1707 chars,  51 entity mentions, 25 relations
  23480597: 1043 chars,   7 entity mentions,  0 relations
  23483103: 1111 chars,  18 entity mentions,  0 relations
  23485615: 1624 chars,  48 entity mentions, 18 relations
  23485651: 2054 chars,  51 entity mentions,  6 relations
  23494236: 1848 chars,  13 entity mentions,  0 relations
  23500061: 2109 chars,  17 entity mentions,  2 relations
  23500411:  368 chars,   7 entity mentions,  0 relations
  23507868: 1828 chars,  17 entity mentions,  0 relations
  23511088: 1542 chars,   2 entity mentions,  0 relations
  23512787: 1348 chars,  29 entity mentions, 15 relations
  23517729: 2945 chars,  21 entity mentions,  1 relations
  23522564:  986 chars,  15 entity mentions,  1 relations
  23523831: 1428 chars,  18 entity mentions,  4 relations
  23524160: 1145 chars,  20 entity mentions,  0 relations
  23524663: 2002 chars,  13 entity mentions,  2 relations
  23525902: 1799 chars,  21 entity mentions,  4 relations
  23526644:  637 chars,   6 entity mentions,  0 relations
  23527317:  560 chars,  12 entity mentions,  6 relations
  23527529: 1435 chars,  15 entity mentions,  3 relations
  23528363: 2608 chars,  32 entity mentions,  0 relations
  23529671: 1624 chars,  23 entity mentions,  0 relations
  23529825: 1765 chars,  14 entity mentions,  2 relations
  23530834:  888 chars,  10 entity mentions,  3 relations
  23532932: 1824 chars,  37 entity mentions, 10 relations
  23534440: 2361 chars,  38 entity mentions,  0 relations
  23535185: 1491 chars,  33 entity mentions, 16 relations
  23535288: 1687 chars,  32 entity mentions,  1 relations
  23537747: 1386 chars,  38 entity mentions, 18 relations
  23539511: 1767 chars,  19 entity mentions,  0 relations
  23541086: 1961 chars,  22 entity mentions,  7 relations
  23541982: 1800 chars,  36 entity mentions,  7 relations
  23543737: 1646 chars,  35 entity mentions,  3 relations
  23545568:  758 chars,   9 entity mentions,  0 relations
  23547652:  849 chars,  19 entity mentions, 12 relations
  23552260: 1349 chars,   8 entity mentions,  0 relations
  23553905: 2042 chars,  27 entity mentions,  0 relations
  23554071: 1557 chars,  12 entity mentions,  0 relations
  23554574: 1291 chars,  20 entity mentions,  0 relations
  23557688: 1212 chars,  25 entity mentions,  0 relations
  23558600:  895 chars,   7 entity mentions,  1 relations
  23561088: 1234 chars,  19 entity mentions,  2 relations
  23561115: 1429 chars,  25 entity mentions,  0 relations
  23561205: 1146 chars,   9 entity mentions,  4 relations
  23562365: 1892 chars,  27 entity mentions, 10 relations
  23562495: 2022 chars,  46 entity mentions, 18 relations
  23562496: 1706 chars,  32 entity mentions,  5 relations
  23566269: 1295 chars,  20 entity mentions,  9 relations
  23567241: 1444 chars,  35 entity mentions, 17 relations
  23567490: 1362 chars,  16 entity mentions,  0 relations
  23567861: 1978 chars,  40 entity mentions,  0 relations
  23570615:  895 chars,  14 entity mentions,  0 relations
  23570999: 1544 chars,  16 entity mentions,  4 relations
  23572389: 1525 chars,  19 entity mentions,  1 relations
  23572405: 1515 chars,  26 entity mentions,  0 relations
  23574729: 1737 chars,  14 entity mentions,  0 relations
  23577589: 1593 chars,  10 entity mentions,  0 relations
  23578968: 1428 chars,  26 entity mentions,  0 relations
  23583009: 1421 chars,  41 entity mentions, 20 relations
  23583510:  743 chars,  14 entity mentions,  1 relations
  23583603: 1952 chars,  28 entity mentions, 13 relations
  23583910:  664 chars,  14 entity mentions, 10 relations
  23583931: 1789 chars,  38 entity mentions, 14 relations
  23585332: 1143 chars,  14 entity mentions,  2 relations
  23585380: 1849 chars,  14 entity mentions,  4 relations
  23587425:  386 chars,  10 entity mentions,  6 relations
  23589302: 1270 chars,  42 entity mentions,  8 relations
  23591110:  598 chars,  10 entity mentions,  4 relations
  23591590: 1728 chars,  31 entity mentions,  1 relations
  23597506: 1612 chars,  18 entity mentions,  6 relations
  23600667: 1287 chars,   5 entity mentions,  0 relations
  23600914: 1479 chars,  37 entity mentions, 25 relations
  23601203: 1400 chars,  14 entity mentions,  8 relations
  23602864: 2021 chars,  33 entity mentions,  0 relations
  23602989: 2026 chars,  52 entity mentions, 13 relations
  23603381: 1444 chars,  14 entity mentions,  0 relations
  23605050: 1282 chars,  36 entity mentions,  9 relations
  23607523: 1144 chars,  30 entity mentions, 13 relations
  23607712: 1493 chars,  29 entity mentions, 11 relations
  23608737: 1804 chars,  29 entity mentions,  4 relations
  23609128: 1551 chars,   7 entity mentions,  0 relations
  23609438: 1971 chars,  42 entity mentions,  1 relations
  23610086: 2103 chars,  26 entity mentions,  4 relations
  23614728: 1791 chars,  24 entity mentions,  0 relations
  23617725: 1308 chars,  17 entity mentions,  1 relations
  23619606: 1762 chars,  35 entity mentions,  2 relations
  23619613: 1616 chars,  28 entity mentions, 11 relations
  23620256: 2369 chars,  11 entity mentions,  0 relations
  23620529: 1490 chars,  17 entity mentions,  0 relations
  23623491:  691 chars,   6 entity mentions,  0 relations
  23624419: 1449 chars,  33 entity mentions, 14 relations
  23624423: 1719 chars,  41 entity mentions, 17 relations
  23625804: 1092 chars,  33 entity mentions, 10 relations
  23626400: 1458 chars,  35 entity mentions,  0 relations
  23630454: 2210 chars,  32 entity mentions,  0 relations
  23631463: 1234 chars,  19 entity mentions,  7 relations
  23632310: 1881 chars,  18 entity mentions,  2 relations
  23636640: 1901 chars,  18 entity mentions,  3 relations
  23639187: 2269 chars,  43 entity mentions,  2 relations
  23639192: 1680 chars,  31 entity mentions, 18 relations
  23639248: 1766 chars,  42 entity mentions,  0 relations
  23639572: 1843 chars,  43 entity mentions,  4 relations
  23640471: 1799 chars,  10 entity mentions,  0 relations
  23640884: 1539 chars,  45 entity mentions,  0 relations
  23643725: 2179 chars,  16 entity mentions,  2 relations
  23643745: 2262 chars,  53 entity mentions,  7 relations
  23643747: 1619 chars,  48 entity mentions, 17 relations
  23644191: 1088 chars,   8 entity mentions,  0 relations
  23644213:  867 chars,  14 entity mentions,  3 relations
  23645211: 2097 chars,  28 entity mentions,  4 relations
  23645248: 1846 chars,  23 entity mentions,  1 relations
  23645360: 1812 chars,  24 entity mentions,  6 relations
  23703578: 2664 chars,  40 entity mentions, 13 relations
  23742252:  870 chars,   9 entity mentions,  2 relations
   2450203: 1602 chars,  34 entity mentions, 13 relations
   2521824: 1482 chars,  25 entity mentions,  8 relations
   2569356: 1166 chars,  17 entity mentions,  1 relations
  25802231: 1406 chars,  16 entity mentions,  9 relations
   2859531: 1981 chars,  27 entity mentions,  7 relations
   2882965: 1333 chars,  23 entity mentions,  5 relations
   2888789: 1760 chars,  14 entity mentions,  4 relations
   2889803: 1885 chars,  21 entity mentions,  5 relations
   2899826: 1326 chars,  36 entity mentions, 23 relations
   2922761: 2533 chars,  48 entity mentions, 17 relations
   2982865: 2405 chars,  30 entity mentions,  3 relations
   3004501: 1860 chars,  41 entity mentions, 19 relations
   3089818: 1772 chars,  18 entity mentions,  6 relations
   3134891: 1652 chars,  38 entity mentions, 26 relations
   3320565:  731 chars,   9 entity mentions,  1 relations
   3588607: 2421 chars,  54 entity mentions, 20 relations
   3735252:  953 chars,  20 entity mentions, 10 relations
   3917545: 1757 chars,  48 entity mentions, 11 relations
   3994963: 1529 chars,  22 entity mentions,  8 relations
   6150080: 1958 chars,  27 entity mentions,  9 relations
   6311012: 2409 chars,  54 entity mentions, 14 relations
   6319437: 2739 chars,  44 entity mentions, 31 relations
   6621777: 1272 chars,  26 entity mentions,  2 relations
   6701456:  711 chars,  19 entity mentions,  6 relations
   6703688: 1593 chars,  35 entity mentions,  5 relations
   7499320: 1631 chars,  18 entity mentions,  0 relations
   7560228: 1808 chars,  29 entity mentions, 10 relations
   7599160: 1418 chars,  36 entity mentions, 12 relations
   7665369: 1299 chars,  37 entity mentions, 22 relations
   7691623: 1456 chars,  26 entity mentions, 14 relations
   7773533: 1886 chars,  32 entity mentions,  8 relations
   7816863: 1554 chars,  18 entity mentions,  7 relations
   7875228: 1776 chars,  40 entity mentions,  3 relations
   7926307: 1447 chars,  26 entity mentions,  5 relations
   7981624: 1563 chars,  14 entity mentions,  0 relations
   8073394: 1575 chars,  32 entity mentions,  9 relations
   8098142: 1989 chars,  26 entity mentions,  5 relations
   8142113: 1097 chars,  18 entity mentions,  1 relations
   8319997: 1537 chars,  27 entity mentions,  7 relations
   8384226: 1757 chars,  33 entity mentions,  6 relations
   8415655: 1165 chars,  13 entity mentions,  8 relations
   8589992: 1528 chars,  45 entity mentions, 23 relations
   8606397: 1584 chars,  12 entity mentions,  5 relations
   8647141: 2116 chars,  13 entity mentions,  1 relations
   8666140: 1749 chars,  36 entity mentions, 10 relations
   8730743: 2111 chars,  25 entity mentions, 10 relations
   8755512: 1342 chars,  15 entity mentions,  6 relations
   8793745: 2189 chars,  41 entity mentions, 19 relations
   8797532: 1223 chars,  29 entity mentions,  2 relations
   8827452: 1606 chars,  37 entity mentions, 14 relations
   8863950:  370 chars,   7 entity mentions,  2 relations
   8882618: 2955 chars,  54 entity mentions, 12 relations
   8930173: 1941 chars,  47 entity mentions,  2 relations
   9008235: 1463 chars,  21 entity mentions,  4 relations
   9020367: 1347 chars,   6 entity mentions,  0 relations
   9039330: 3477 chars,  33 entity mentions,  0 relations
   9063462: 2113 chars,  14 entity mentions,  4 relations
   9204085: 1200 chars,  21 entity mentions,  9 relations
   9211565: 1449 chars,  35 entity mentions, 13 relations
   9231703: 1005 chars,  13 entity mentions,  0 relations
   9299436:  981 chars,  19 entity mentions,  1 relations
   9310349: 1802 chars,  42 entity mentions, 23 relations
   9313928: 2412 chars, 113 entity mentions, 49 relations
   9336833: 1334 chars,  37 entity mentions,  3 relations
   9374794: 1493 chars,  22 entity mentions,  8 relations
   9417820: 1066 chars,  27 entity mentions,  1 relations
   9476974: 1879 chars,  50 entity mentions, 17 relations
   9480897:  973 chars,  16 entity mentions,  0 relations
   9551716: 1868 chars,  33 entity mentions, 13 relations
   9557255:  503 chars,  11 entity mentions,  6 relations
   9584217: 1923 chars,  21 entity mentions,  8 relations
   9587031: 1181 chars,  15 entity mentions,  2 relations
   9614060: 1496 chars,  31 entity mentions,  8 relations
   9712175: 1623 chars,  20 entity mentions,  5 relations
   9730867: 2157 chars,  56 entity mentions, 34 relations
   9760035: 2068 chars,  48 entity mentions, 13 relations
   9843368: 2070 chars,  23 entity mentions,  8 relations
   9891987: 1329 chars,  16 entity mentions,  2 relations
   9990013: 1513 chars,  56 entity mentions, 34 relations
